Time(%),Time,Calls,Avg,Min,Max,Name
,58.06%,682.61ms,3808,179.26us,178.14us,180.19us,phase_2_kernel(int*,int*,int,int,int,int,int*,int*)
,24.63%,289.53ms,3808,76.031us,65.535us,81.952us,phase_3_kernel(int*,int*,int,int,int,int,int*,int*,int*,int*)
,9.31%,109.43ms,3808,28.738us,22.912us,33.632us,phase_1_kernel(int*,int*,int,int,int,int,int*)
,2.83%,33.325ms,5712,5.8340us,3.8400us,14.656us,[CUDA,memset]
,2.30%,27.006ms,952,28.367us,27.424us,28.832us,find_CellID(Object*,int*,int*,float)
,1.51%,17.782ms,952,18.678us,16.288us,20.064us,run_vbo_kernel(float4*,Object*,float)
,1.36%,15.937ms,5712,2.7900us,2.1440us,11.968us,[CUDA,memcpy,DtoH]
,0.00%,1.7920us,1,1.7920us,1.7920us,1.7920us,[CUDA,memcpy,HtoD]

Time(%),Time,Calls,Avg,Min,Max,Name
,38.91%,1.33101s,3811,349.25us,7.1480us,2.1109ms,cudaMalloc
,31.04%,1.06176s,5713,185.85us,21.888us,1.3233ms,cudaMemcpy
,8.64%,295.45ms,1,295.45ms,295.45ms,295.45ms,cudaGraphicsGLRegisterBuffer
,8.51%,290.96ms,2859,101.77us,10.785us,426.52us,cudaFree
,6.51%,222.62ms,13328,16.702us,10.029us,809.40us,cudaLaunch
,3.23%,110.34ms,5712,19.316us,11.300us,133.49us,cudaMemset
,1.01%,34.379ms,101864,337ns,230ns,559.36us,cudaSetupArgument
,0.85%,29.086ms,952,30.553us,20.540us,135.51us,cudaGraphicsMapResources
,0.83%,28.545ms,952,29.984us,18.274us,5.6389ms,cudaGraphicsUnmapResources
,0.25%,8.4889ms,13328,636ns,376ns,21.896us,cudaConfigureCall
,0.09%,2.9836ms,952,3.1340us,2.1670us,14.431us,cudaGraphicsResourceGetMappedPointer
,0.06%,2.0092ms,4,502.30us,482.74us,513.61us,cudaGetDeviceProperties
,0.04%,1.2994ms,2,649.68us,375.96us,923.40us,cuDeviceTotalMem
,0.03%,1.1744ms,182,6.4520us,389ns,202.51us,cuDeviceGetAttribute
,0.01%,306.58us,1,306.58us,306.58us,306.58us,cudaGraphicsUnregisterResource
,0.01%,193.24us,2,96.621us,47.851us,145.39us,cuDeviceGetName
,0.00%,10.225us,6,1.7040us,655ns,5.5280us,cuDeviceGet
,0.00%,9.0630us,1,9.0630us,9.0630us,9.0630us,cudaGLSetGLDevice
,0.00%,6.7330us,3,2.2440us,766ns,4.6470us,cuDeviceGetCount

